question,answer
"A ""best practice"" jellegű üzleti folyamatok az egyes területek legjobb üzleti gyakorlatának megfelelő folyamatokat jelentik.",igaz
"A ""best practice"" jellegű üzleti folyamatok nem az egyes területek legjobb üzleti gyakorlatának megfelelő folyamatokat jelentik.",hamis
A DRP feladata a kiesett erőforrások visszaállításának biztosítása.,igaz
A DRP feladata a kiesett erőforrások nélküli funkcionális működés biztosítása.,hamis
"A BCP jelentése kiesett erőforrás visszaállítása, míg a DRP jelentése a kiesett erőforrások nélküli funkcionális működés.",hamis
A BOM-ban backflush hatására változik-e a készletszint?,igaz
A DSS-rendszerek a döntési folyamat informatikai támogatását szolgáló rendszerek.,igaz
A DSS-rendszerek nem a döntési folyamat informatikai támogatását szolgáló rendszerek.,hamis
A Garbage in garbage out hatásnak nincsen nagy jelentősége hibás adatkezelés esetén.,hamis
"A garbage in garbage out jelentése, hogy rossz adatokból csak rossz adatok nyerhetőek ki",igaz
A HANA repository a futásidejű adatbázis objektumokattárolja.,hamis
Egy HANA adatbázis alapvetően OLAP igényekkiszolgálására alkalmas,igaz
Egy HANA adatbázisban az adatok karbantartása (pl.: újrekord felvitele) technológiai szempontból a delta bufferekenkeresztül valósul meg.,igaz
"HANA környezetben a delivery unitok szolgálnak a különbözőrendszerek (fejlesztői teszt, produktyv) közötti transzporthoz.",igaz
A MOLAP (Multidimensional OLAP) rendszerek az adatok tárolására a multidimenziós adatmodellt használják.,igaz
A Máv-Start által fejlesztett Elvira elnevezésű menetrend rendszer egy információs rendszer.,igaz
A PaaS alkalmazás szolgáltatást jelent.,hamis
A PaaS platform szolgáltatást jelent.,igaz
"A ""PaaS"" jelentése szoftverszolgáltatás.",hamis
A SAP NetWeaver egy átfogó integrációs és alkalmazási platform,igaz
A beszerzési információ rekordok (purchasing info records) az egyes anyagokkal kapcsolatos meghatározott szállítókra vonatkozó beszerzési adatokat tartalmazzák.,igaz
A beszerzési információs rekordok (purchase info records) az egyes anyagokkal kapcsolatos meghatározott szállítókra vonatkozó beszerzési adatait tartalmazzák.,igaz
A beszerzési információs rekordok (purchasing info records) a darabjegyzék (BOM) és a műveleti jegyzék (routing) megfelelő elemeit kapcsolja össze a beszerzés vonatkozásában.,hamis
"A beszerzési információs rekordok (purchasing info records) megmutatják, hogy hogyan lehet összekötni a szállítót a vállalattal. Megmutatja, hogy az adott szállító milyen anyagot tud szállítani, megmutatja, hogy milyen kedvezményeket kaphat a szállító, illetve feljegyzéseket készíthetünk.",igaz
"A centralizáció: biztosítja az egységes vezetői akarat érvényesítését, az erőforrások racionális hasznosítását.",igaz
"A centralizált hatáskörök leadása előnyös a munkavállalói elégedettség, a kreativitás és az elkötelezettség növelése.",hamis
A darabjegyzék (Bill of material) létrehozása és karbantartása többszintű darabjegyzék formájában is történhet.,igaz
A darabjegyzék (bill of material) létrehozása és karbantartása csak egyszintű darabjegyzék (single-level BOM) formájában történhet.,hamis
A darabjegyzék (bill of material) létrehozása és karbantartásatöbbszintű darabjegyzék (multi-level BOM) formájában istörténhet.,hamis
A diszpozíció (MRP) futás eredménye lehet egy tervrendelés(planned order).,igaz
"A diszpozíció az SAP-rendszerben az anyagok rendelkezésreállásának biztosítását, az anyagszükséglet tervezését jelenti.",igaz
"A dobozos üzleti alkalmazások olyan szoftvertermékek, amelynek telepítőkészletét a vállalatok CD, DVD vagy Blu-ray lemezek formájában vásárolhatnak meg.",hamis
A dokumentummenedzsment- és vállalati tartalom kezelő rendszerek azonos funkcionalitással bírnak.,hamis
A dokumentummenedzsment- és vállalati tartalom kezelő rendszerek nem azonos funkcionalitással bírnak.,igaz
A döntéshozatali hierarchia és információ igény szerint a operatív vezetés problémaszerkezet jól strukturált.,igaz
A döntéshozatali hierarchia és információ igény szerint a stratégiai vezetők problémaszerkezet közepesen struktúrált.,hamis
A döntéshozatali hierarchia és információ igény szerint a taktikai vezetés problémaszerkezet közepesen strukturált.,igaz
A döntéstámogató rendszerek a stratégiai döntéshozatalhoz kapcsolódó igényeket elégítik ki.,igaz
"A döntéstámogató rendszerek, vállalati műveleteket támogató rendszerek.",hamis
A döntéstámogató rendszerekben a teljesítménynövelés egyik praktikus módja az adatredukció.,igaz
A felhasználás vezérelt diszpozíció (consumption-based planning) típusú eljárások alapvetően az anyag múltbéli fogyasztásán alapulnak.,igaz
"A felhasználóval való kapcsolattartás alapján megkülönböztethetők passzív, aktív és kooperatív döntéstámogató rendszerek.",igaz
A felhő szolgáltatásokra általánosságban jellemző a különféle virtualizált erőforrások használata.,igaz
"A felhőalapú szolgáltatás egy olyan számítógépes erőforrás-hozzáférési modell, amely a hálózaton keresztül a különféle típusú, közös használatú erőforráshalmazokat konfigurálható módon tesz elérhetővé a felhasználók számára.",igaz
"A felhőalapú szolgáltatás nem egy olyan számítógépes erőforrás-hozzáférési modell, amely a hálózaton keresztül különféle típusú, közös használatú erőforráshalmazokat konfigurálható módon tesz elérhetővé a felhasználók számára.",hamis
A felhőszolgáltatások igénybevétele vállalati környezetben egy szolgáltatáskiszervezési formának tekinthető.,igaz
A felhőszolgáltatásokra nem jellemző a különféle virtualizált erőforrások használata.,hamis
A felhőszolgáltatásokra általánosságban jellemző a különféle virtualizált erőforrások használata.,igaz
A gamification a játékkonzolok esetében alkalmazott ember-gép interakciók PC-s környezetbe történő adoptálását jelenti.,hamis
A gamification a konzolról PC-re történő ember-gép reakciók adoptálását jelenti.,hamis
A gamification játéktervezési elemek használatát jelenti játékos környezetben.,hamis
A gamification játéktervezési elemek használatát jelenti nem-játékos környezetben.,igaz
A gamification megközelítésnek pszichológiai vonatkozásai is vannak.,igaz
A gamification megközelítésének nincsenek pszichológiai vonatkozásai,hamis
A gamification nem a játékkonzolok esetében alkalmazott ember-gép interakciók PC-s környezetbe történő adoptálását jelenti.,igaz
A gyártási megrendelés visszavonhatatlan.,hamis
A gyártási megrendelés visszavonható.,igaz
A hazai informatikai hálózat váltóáramról megy.,igaz
A hiba kiszűrés ráfordítás igény és a pontosság között egyenes arányosság van.,igaz
A háromrétegű architektúrájú vállalati információs rendszerek esetén az üzleti logika réteg feladata a felhasználóval való kapcsolattartás.,hamis
A háromrétegű architektúrájú vállalati információs rendszerek esetén nem az üzleti logika réteg feladata a felhasználóval való kapcsolattartás.,igaz
A háttérfeldolgozás beengedi a hibákat.,igaz
"A karakteres adatfajtával a feldolgozási módjuk szerint semmiféle műveletet nem végezhetünk, adattartalommal nem összefüggő. (pl.: földrajzi nevek)",igaz
A kevert szabály formai és tartalmi szabályok keverékei.,igaz
A kiszállítási pontot (shipping point) üzemhez (plant) lehet rendelni,igaz
"A kliens-szerver alapú rendszerekben a kommunikációt tipikusan a kliens kezdeményezi, a szervernek alaphelyzetben csupán várakozik a bejövő kérésre.",igaz
"A kliens-szerver alapú rendszerekben a kommunikációt tipikusan a szerver kezdeményezi, a kliensek alaphelyzetben csupán várakozik a bejövő kérésre.",hamis
A kliens-szerver modellben a szerver- és a kliensmodulok általában azonos számítógépekre kerülnek.,hamis
A kliens-szerver modellben a szerver- és a kliensmodulok általában különböző számítógépekre kerülnek,igaz
A komponens alapú rendszerek feketedoboz-jellegű (black box) újrafelhasználás lehetőségével rendelkeznek.,igaz
A komponensalapú rendszerek feketedoboz-jellegű (black box) újrafelhasználás lehetőségével rendelkeznek.,igaz
A komponensalapú rendszerek nem rendelkeznek feketedoboz-jellegű (black-box) újrafelhasználás lehetőséggel.,hamis
"A kép adatfajtával a feldolgozási módjuk szerint lehetséges honvédelmi, felderítési, földrajzi, mezőgazdasági, környezetvédelmi, gyógyászati.",igaz
A különböző diszpozíciós eljárások az SAP-rendszerben a különböző kontrolling eszközök alkalmazását definiálják.,hamis
