QType,question,Q_1,Q_2,Q_3,Q_4,Q_5,Answers
2,"A ""best practice"" jellegű üzleti folyamatok az egyes területek legjobb üzleti gyakorlatának megfelelő folyamatokat jelentik.",igaz,hamis,,,,1 0
2,"A ""best practice"" jellegű üzleti folyamatok nem az egyes területek legjobb üzleti gyakorlatának megfelelő folyamatokat jelentik.",igaz,hamis,,,,0 1
2,A DRP feladata a kiesett erőforrások visszaállításának biztosítása.,igaz,hamis,,,,1 0
2,A DRP feladata a kiesett erőforrások nélküli funkcionális működés biztosítása.,igaz,hamis,,,,0 1
2,"A BCP jelentése kiesett erőforrás visszaállítása, míg a DRP jelentése a kiesett erőforrások nélküli funkcionális működés.",igaz,hamis,,,,0 1
2,A BOM-ban backflush hatására változik-e a készletszint?,igaz,hamis,,,,1 0
2,A DSS-rendszerek a döntési folyamat informatikai támogatását szolgáló rendszerek.,igaz,hamis,,,,1 0
2,A DSS-rendszerek nem a döntési folyamat informatikai támogatását szolgáló rendszerek.,igaz,hamis,,,,0 1
2,A Garbage in garbage out hatásnak nincsen nagy jelentősége hibás adatkezelés esetén.,igaz,hamis,,,,0 1
2,"A garbage in garbage out jelentése, hogy rossz adatokból csak rossz adatok nyerhetőek ki",igaz,hamis,,,,1 0
2,A HANA repository a futásidejű adatbázis objektumokattárolja.,igaz,hamis,,,,0 1
2,Egy HANA adatbázis alapvetően OLAP igényekkiszolgálására alkalmas,igaz,hamis,,,,1 0
2,Egy HANA adatbázisban az adatok karbantartása (pl.: újrekord felvitele) technológiai szempontból a delta bufferekenkeresztül valósul meg.,igaz,hamis,,,,1 0
2,"HANA környezetben a delivery unitok szolgálnak a különbözőrendszerek (fejlesztői teszt, produktyv) közötti transzporthoz.",igaz,hamis,,,,1 0
2,A MOLAP (Multidimensional OLAP) rendszerek az adatok tárolására a multidimenziós adatmodellt használják.,igaz,hamis,,,,1 0
2,A Máv-Start által fejlesztett Elvira elnevezésű menetrend rendszer egy információs rendszer.,igaz,hamis,,,,1 0
2,A PaaS alkalmazás szolgáltatást jelent.,igaz,hamis,,,,0 1
2,A PaaS platform szolgáltatást jelent.,igaz,hamis,,,,1 0
2,"A ""PaaS"" jelentése szoftverszolgáltatás.",igaz,hamis,,,,0 1
2,A SAP NetWeaver egy átfogó integrációs és alkalmazási platform,igaz,hamis,,,,1 0
2,A beszerzési információ rekordok (purchasing info records) az egyes anyagokkal kapcsolatos meghatározott szállítókra vonatkozó beszerzési adatokat tartalmazzák.,igaz,hamis,,,,1 0
2,A beszerzési információs rekordok (purchase info records) az egyes anyagokkal kapcsolatos meghatározott szállítókra vonatkozó beszerzési adatait tartalmazzák.,igaz,hamis,,,,1 0
2,A beszerzési információs rekordok (purchasing info records) a darabjegyzék (BOM) és a műveleti jegyzék (routing) megfelelő elemeit kapcsolja össze a beszerzés vonatkozásában.,igaz,hamis,,,,0 1
2,"A beszerzési információs rekordok (purchasing info records) megmutatják, hogy hogyan lehet összekötni a szállítót a vállalattal. Megmutatja, hogy az adott szállító milyen anyagot tud szállítani, megmutatja, hogy milyen kedvezményeket kaphat a szállító, illetve feljegyzéseket készíthetünk.",igaz,hamis,,,,1 0
2,"A centralizáció: biztosítja az egységes vezetői akarat érvényesítését, az erőforrások racionális hasznosítását.",igaz,hamis,,,,1 0
2,"A centralizált hatáskörök leadása előnyös a munkavállalói elégedettség, a kreativitás és az elkötelezettség növelése.",igaz,hamis,,,,0 1
2,A darabjegyzék (Bill of material) létrehozása és karbantartása többszintű darabjegyzék formájában is történhet.,igaz,hamis,,,,1 0
2,A darabjegyzék (bill of material) létrehozása és karbantartása csak egyszintű darabjegyzék (single-level BOM) formájában történhet.,igaz,hamis,,,,0 1
2,A darabjegyzék (bill of material) létrehozása és karbantartásatöbbszintű darabjegyzék (multi-level BOM) formájában istörténhet.,igaz,hamis,,,,0 1
2,A diszpozíció (MRP) futás eredménye lehet egy tervrendelés(planned order).,igaz,hamis,,,,1 0
2,"A diszpozíció az SAP-rendszerben az anyagok rendelkezésreállásának biztosítását, az anyagszükséglet tervezését jelenti.",igaz,hamis,,,,1 0
2,"A dobozos üzleti alkalmazások olyan szoftvertermékek, amelynek telepítőkészletét a vállalatok CD, DVD vagy Blu-ray lemezek formájában vásárolhatnak meg.",igaz,hamis,,,,0 1
2,A dokumentummenedzsment- és vállalati tartalom kezelő rendszerek azonos funkcionalitással bírnak.,igaz,hamis,,,,0 1
2,A dokumentummenedzsment- és vállalati tartalom kezelő rendszerek nem azonos funkcionalitással bírnak.,igaz,hamis,,,,1 0
2,A döntéshozatali hierarchia és információ igény szerint a operatív vezetés problémaszerkezet jól strukturált.,igaz,hamis,,,,1 0
2,A döntéshozatali hierarchia és információ igény szerint a stratégiai vezetők problémaszerkezet közepesen struktúrált.,igaz,hamis,,,,0 1
2,A döntéshozatali hierarchia és információ igény szerint a taktikai vezetés problémaszerkezet közepesen strukturált.,igaz,hamis,,,,1 0
2,A döntéstámogató rendszerek a stratégiai döntéshozatalhoz kapcsolódó igényeket elégítik ki.,igaz,hamis,,,,1 0
2,"A döntéstámogató rendszerek, vállalati műveleteket támogató rendszerek.",igaz,hamis,,,,0 1
2,A döntéstámogató rendszerekben a teljesítménynövelés egyik praktikus módja az adatredukció.,igaz,hamis,,,,1 0
