question,title,QType,Q_1,Q_2,Q_3,Q_4,Q_5,Answers
"A ""best practice"" jellegű üzleti folyamatok az egyes területek legjobb üzleti gyakorlatának megfelelő folyamatokat jelentik.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A ""best practice"" jellegű üzleti folyamatok nem az egyes területek legjobb üzleti gyakorlatának megfelelő folyamatokat jelentik.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A DRP feladata a kiesett erőforrások visszaállításának biztosítása.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A DRP feladata a kiesett erőforrások nélküli funkcionális működés biztosítása.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A BCP jelentése kiesett erőforrás visszaállítása, míg a DRP jelentése a kiesett erőforrások nélküli funkcionális működés.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A BOM-ban backflush hatására változik-e a készletszint?,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A DSS-rendszerek a döntési folyamat informatikai támogatását szolgáló rendszerek.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A DSS-rendszerek nem a döntési folyamat informatikai támogatását szolgáló rendszerek.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A Garbage in garbage out hatásnak nincsen nagy jelentősége hibás adatkezelés esetén.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A garbage in garbage out jelentése, hogy rossz adatokból csak rossz adatok nyerhetőek ki",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A HANA repository a futásidejű adatbázis objektumokattárolja.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Egy HANA adatbázis alapvetően OLAP igényekkiszolgálására alkalmas,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Egy HANA adatbázisban az adatok karbantartása (pl.: újrekord felvitele) technológiai szempontból a delta bufferekenkeresztül valósul meg.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"HANA környezetben a delivery unitok szolgálnak a különbözőrendszerek (fejlesztői teszt, produktyv) közötti transzporthoz.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A MOLAP (Multidimensional OLAP) rendszerek az adatok tárolására a multidimenziós adatmodellt használják.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A Máv-Start által fejlesztett Elvira elnevezésű menetrend rendszer egy információs rendszer.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A PaaS alkalmazás szolgáltatást jelent.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A PaaS platform szolgáltatást jelent.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A ""PaaS"" jelentése szoftverszolgáltatás.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
